Date : 2021-04-12 13:38:02
Directory : /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib
Total : 64 files,  7135 codes, 847 comments, 881 blanks, all 8863 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/podcast/shadow_support_file/myPainter.dart                     | Dart     |         27 |          0 |          7 |         34 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/podcast_player/podcast_player.dart                             | Dart     |        426 |         21 |         33 |        480 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/profile_page/Profile.dart                                      | Dart     |        256 |          5 |          8 |        269 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/profile_page/editProfile.dart                                  | Dart     |        117 |         23 |         14 |        154 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/splash_screen/splash.dart                                      | Dart     |         20 |          0 |          4 |         24 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/JsonTesting.dart                                       | Dart     |         40 |          0 |          7 |         47 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/PodcastList.dart                                       | Dart     |          0 |        174 |          9 |        183 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/concaveShadow.dart                                     | Dart     |          0 |         59 |         13 |         72 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/innerShadow.dart                                       | Dart     |          0 |         59 |          8 |         67 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/neumorphic_theme.dart                                  | Dart     |          0 |         61 |          7 |         68 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/testing.dart                                           | Dart     |         33 |          0 |          5 |         38 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/constants/colors.dart                                                  | Dart     |         14 |          0 |          2 |         16 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/constants/dimensions.dart                                              | Dart     |         30 |          0 |         10 |         40 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/constants/validator.dart                                               | Dart     |         14 |          0 |          5 |         19 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/main.dart                                                              | Dart     |         14 |          5 |         11 |         30 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/FourmsList.dart                                                 | Dart     |        218 |          3 |         43 |        264 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/Games.dart                                                      | Dart     |        166 |          3 |         27 |        196 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/LoginResponseModel.dart                                         | Dart     |        107 |          3 |         16 |        126 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/SignupResponseModel.dart                                        | Dart     |        295 |          3 |         32 |        330 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/Userdata.dart                                                   | Dart     |        187 |          3 |         24 |        214 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/courseslist.dart                                                | Dart     |        813 |          3 |        111 |        927 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/coursessingle.dart                                              | Dart     |        327 |          3 |         44 |        374 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/lessonslist.dart                                                | Dart     |        337 |          3 |         63 |        403 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/lessonssingle.dart                                              | Dart     |         43 |          3 |         12 |         58 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/lsuser.dart                                                     | Dart     |         21 |          0 |          2 |         23 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/podcastlist.dart                                                | Dart     |        253 |          3 |         53 |        309 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/podcastsingle.dart                                              | Dart     |        251 |          3 |         40 |        294 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/navdecider.dart                                                        | Dart     |         49 |         28 |         18 |         95 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/progressHUD.dart                                                       | Dart     |         38 |          0 |          4 |         42 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/Feedrepository.dart                                       | Dart     |          0 |          9 |          4 |         13 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/music_player_ui_functions.dart                            | Dart     |         19 |          0 |          3 |         22 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/userExperience.dart                                       | Dart     |          9 |          1 |          5 |         15 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/vanillaDart.dart                                          | Dart     |          0 |         57 |         11 |         68 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/CourcesCategoryServices.dart                                  | Dart     |         20 |          1 |          3 |         24 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/ForumServices.dart                                            | Dart     |         22 |          1 |          5 |         28 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/GamesServices.dart                                            | Dart     |         20 |          6 |          4 |         30 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/LoginServices.dart                                            | Dart     |         33 |          0 |          7 |         40 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/SignUpServices.dart                                           | Dart     |         23 |          2 |          5 |         30 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/podcastListService.dart                                       | Dart     |         20 |          3 |          3 |         26 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/shared_serivces.dart                                          | Dart     |         28 |          1 |         12 |         41 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/singleLesson.dart                                             | Dart     |         19 |          4 |          6 |         29 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/userdataservices.dart                                         | Dart     |         37 |          0 |          8 |         45 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/widget/listtileWidget.dart                                             | Dart     |        138 |          9 |         10 |        157 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/widget/popUpMenu.dart                                                  | Dart     |          4 |          0 |          4 |          8 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/widget/widgets.dart                                                    | Dart     |        363 |        152 |         19 |        534 |
| Total                                                                                                                                     |          |      7,135 |        847 |        881 |      8,863 |
+-------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
